2018-02-05_03-05-13-3560,         0.0914,         0.0761,         0.0000,        31.0000,        30.0000,        61.0000,         3.0000,       541.2000
2018-02-05_03-05-14-0060,         0.0916,         0.0767,         1.0000,        30.0000,        25.0000,        55.0000,         4.0000,       541.7000
2018-02-05_03-05-26-6740,         0.0919,         0.0762,         3.0000,        37.0000,        32.0000,        69.0000,         2.0000,       551.8000
2018-02-05_03-05-27-2240,         0.0911,         0.0760,         1.0000,        31.0000,        29.0000,        60.0000,         3.0000,       552.3000
2018-02-05_03-05-38-5930,         0.0916,         0.0762,         0.0000,        26.0000,        33.0000,        59.0000,         5.0000,       561.4000
2018-02-05_03-05-39-1930,         0.0920,         0.0762,         2.0000,        31.0000,        34.0000,        65.0000,         1.0000,       561.8000
2018-02-05_03-05-51-8100,         0.0921,         0.0762,         0.0000,        29.0000,        34.0000,        63.0000,         2.0000,       571.9000
2018-02-05_03-05-52-4110,         0.0933,         0.0761,         0.0000,        23.0000,        35.0000,        58.0000,         1.0000,       572.4000
2018-02-05_03-06-03-5270,         0.0917,         0.0760,         0.0000,        33.0000,        31.0000,        64.0000,         1.0000,       581.3000
2018-02-05_03-06-04-1290,         0.0903,         0.0761,         0.0000,        28.0000,        30.0000,        58.0000,         2.0000,       581.8000
2018-02-05_03-06-16-9460,         0.0916,         0.0763,         1.0000,        28.0000,        33.0000,        61.0000,         4.0000,       592.0000
2018-02-05_03-06-17-5970,         0.0920,         0.0761,         2.0000,        36.0000,        29.0000,        65.0000,         2.0000,       592.5000
2018-02-05_03-06-28-9620,         0.0905,         0.0759,         1.0000,        32.0000,        28.0000,        60.0000,         2.0000,       601.6000
2018-02-05_03-06-29-5630,         0.0911,         0.0760,         0.0000,        28.0000,        30.0000,        58.0000,         5.0000,       602.1000
2018-02-05_03-06-40-8310,         0.0914,         0.0758,         1.0000,        28.0000,        28.0000,        56.0000,         5.0000,       611.1000
2018-02-05_03-06-41-4310,         0.0907,         0.0760,         0.0000,        31.0000,        33.0000,        64.0000,         5.0000,       611.6000
2018-02-05_03-06-53-9990,         0.0908,         0.0762,         3.0000,        25.0000,        31.0000,        56.0000,         4.0000,       621.6000
2018-02-05_03-06-54-6000,         0.0921,         0.0759,         5.0000,        30.0000,        33.0000,        63.0000,         3.0000,       622.1000
2018-02-05_03-07-05-9670,         0.0897,         0.0762,         1.0000,        37.0000,        31.0000,        68.0000,         4.0000,       631.2000
2018-02-05_03-07-06-5670,         0.0900,         0.0756,         0.0000,        35.0000,        27.0000,        62.0000,         2.0000,       631.7000
2018-02-05_03-07-19-2860,         0.0919,         0.0760,         4.0000,        35.0000,        33.0000,        68.0000,         6.0000,       641.9000
2018-02-05_03-07-19-8870,         0.0924,         0.0759,         1.0000,        33.0000,        33.0000,        66.0000,         2.0000,       642.3000
2018-02-05_03-07-31-1530,         0.0900,         0.0756,         0.0000,        30.0000,        29.0000,        59.0000,         4.0000,       651.3000
2018-02-05_03-07-31-7540,         0.0915,         0.0763,         2.0000,        39.0000,        32.0000,        71.0000,         2.0000,       651.8000
2018-02-05_03-07-44-3710,         0.0917,         0.0751,         1.0000,        38.0000,        36.0000,        74.0000,         3.0000,       661.9000
